Khách hàng,Sản phẩm,Ngày mua,Giá trị,Xu hướng mua sắm,Số lượng,Độ tin cậy của khách hàng,Khu vực,Thời gian mua sắm,Phương pháp thanh toán,Chiến dịch quảng cáo
KH01,SP002,27/1/2022,213,Tăng,101,Trung bình,Khu vực B,Buổi tối,Thấp,CD26
KH02,SP002,21/1/2022,488,Tăng,191,Thấp,Khu vực C,Buổi sáng,Cao,CD11
KH03,SP004,4/1/2022,240,Tăng,77,Cao,Khu vực C,Buổi sáng,Thấp,CD30
KH04,SP003,11/1/2022,117,Giảm,181,Thấp,Khu vực C,Buổi tối,Thấp,CD33
KH05,SP004,21/1/2022,173,Giảm,98,Cao,Khu vực B,Buổi chiều,Thấp,CD5
KH06,SP005,7/1/2022,457,Tăng,153,Cao,Khu vực B,Buổi tối,Thấp,CD19
KH07,SP004,7/1/2022,413,Tăng,255,Cao,Khu vực B,Buổi sáng,Cao,CD15
KH08,SP005,23/1/2022,267,Tăng,107,Cao,Khu vực B,Buổi chiều,Thấp,CD39
KH09,SP003,1/1/2022,102,Giảm,41,Trung bình,Khu vực B,Buổi chiều,Cao,CD23
KH10,SP005,16/1/2022,257,Tăng,131,Trung bình,Khu vực A,Buổi tối,Thấp,CD38
KH11,SP001,14/1/2022,218,Tăng,242,Thấp,Khu vực A,Buổi chiều,Cao,CD50
KH12,SP001,5/1/2022,480,Tăng,222,Cao,Khu vực A,Buổi tối,Thấp,CD28
KH13,SP005,21/1/2022,52,Giảm,261,Trung bình,Khu vực A,Buổi chiều,Thấp,CD12
KH14,SP002,9/1/2022,415,Tăng,233,Thấp,Khu vực C,Buổi sáng,Cao,CD18
KH15,SP004,28/1/2022,417,Tăng,208,Thấp,Khu vực A,Buổi chiều,Thấp,CD13
KH16,SP001,31/1/2022,353,Tăng,217,Cao,Khu vực B,Buổi sáng,Cao,CD43
KH17,SP003,15/1/2022,363,Tăng,281,Cao,Khu vực C,Buổi chiều,Thấp,CD49
KH18,SP001,9/1/2022,217,Tăng,217,Cao,Khu vực A,Buổi sáng,Thấp,CD1
KH19,SP002,19/1/2022,325,Tăng,189,Cao,Khu vực B,Buổi sáng,Cao,CD2
KH20,SP001,21/1/2022,220,Tăng,107,Thấp,Khu vực A,Buổi chiều,Cao,CD11
KH21,SP004,4/1/2022,478,Tăng,41,Cao,Khu vực B,Buổi sáng,Cao,CD46
KH22,SP004,13/1/2022,361,Tăng,149,Thấp,Khu vực C,Buổi chiều,Cao,CD2
KH23,SP004,28/1/2022,495,Tăng,66,Cao,Khu vực B,Buổi tối,Cao,CD4
KH24,SP001,14/1/2022,174,Giảm,265,Trung bình,Khu vực B,Buổi sáng,Thấp,CD28
KH25,SP004,11/1/2022,480,Tăng,68,Trung bình,Khu vực A,Buổi tối,Thấp,CD27
KH26,SP004,1/1/2022,367,Tăng,206,Trung bình,Khu vực C,Buổi chiều,Cao,CD33
KH27,SP003,25/1/2022,343,Tăng,104,Trung bình,Khu vực C,Buổi tối,Cao,CD1
KH28,SP004,14/1/2022,52,Giảm,229,Thấp,Khu vực B,Buổi sáng,Thấp,CD26
KH29,SP005,9/1/2022,436,Tăng,105,Thấp,Khu vực B,Buổi sáng,Thấp,CD7
KH30,SP004,5/1/2022,455,Tăng,171,Cao,Khu vực A,Buổi tối,Cao,CD35
KH31,SP001,26/1/2022,195,Giảm,193,Thấp,Khu vực A,Buổi tối,Thấp,CD3
KH32,SP004,23/1/2022,469,Tăng,156,Cao,Khu vực C,Buổi chiều,Cao,CD22
KH33,SP003,27/1/2022,483,Tăng,220,Cao,Khu vực B,Buổi tối,Thấp,CD46
KH34,SP005,1/1/2022,290,Tăng,209,Trung bình,Khu vực B,Buổi tối,Cao,CD34
KH35,SP004,21/1/2022,133,Giảm,94,Trung bình,Khu vực B,Buổi tối,Thấp,CD15
KH36,SP002,18/1/2022,316,Tăng,110,Thấp,Khu vực A,Buổi tối,Thấp,CD31
KH37,SP005,9/1/2022,289,Tăng,298,Thấp,Khu vực A,Buổi chiều,Cao,CD42
KH38,SP003,23/1/2022,414,Tăng,266,Trung bình,Khu vực B,Buổi chiều,Cao,CD12
KH39,SP005,31/1/2022,482,Tăng,166,Cao,Khu vực A,Buổi sáng,Thấp,CD48
KH40,SP005,8/1/2022,57,Giảm,151,Trung bình,Khu vực B,Buổi tối,Cao,CD35
KH41,SP001,11/1/2022,383,Tăng,275,Thấp,Khu vực A,Buổi sáng,Cao,CD28
KH42,SP005,15/1/2022,98,Giảm,219,Thấp,Khu vực A,Buổi sáng,Thấp,CD27
